Animal,Breed ,Products,Production,Symptom1,Symptom2,Symptom3,Disease,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,anaemia,weakness,low milk production,Theileriosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,High fever,anaemia,swollen lymph nodes,Theileriosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,weight loss,low milk production,weakness,Theileriosis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,Chronic weight loss,Swollen abdomen,Jaundice,Fascioliasis,,
Buffalo,Jaffarabadi,Milk,6-12 liters per day,Chronic weight loss,Swollen abdomen,Anemia,Fascioliasis,,
Buffalo,Surti,Milk,5-8 liters per day,depression,painless lumps,loss of appetite,pneumonia,,
Buffalo,Surti,Milk,5-8 liters per day,loss of appetite,swelling in limb,crackling sound,blackleg,,
Buffalo,Surti,Milk,5-8 liters per day,depression,painless lumps,loss of appetite,lumpy virus,,
Buffalo,Surti,Milk,5-8 liters per day,shortness of breath,sweats,chills,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,difficulty walking,loss of appetite,blisters on hooves,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,chest discomfort,swelling in extremities,shortness of breath,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,loss of appetite,sores on hooves,lameness,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,blisters on gums,loss of appetite,difficulty walking,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,swelling in extremities,sweats,fatigue,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,sores on gums,difficulty walking,loss of appetite,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,crackling sound,lameness,depression,blackleg,,
Buffalo,Surti,Milk,5-8 liters per day,sweats,fatigue,chills,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,swelling in muscle,lameness,crackling sound,blackleg,,
Buffalo,Surti,Milk,5-8 liters per day,swelling in abdomen,chills,shortness of breath,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,loss of appetite,blisters on mouth,difficulty walking,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,sweats,fatigue,swelling in abdomen,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,fatigue,sweats,shortness of breath,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,fatigue,swelling in abdomen,chest discomfort,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,swelling in neck,chest discomfort,shortness of breath,anthrax,,
Buffalo,Surti,Milk,5-8 liters per day,swelling in limb,difficulty walking,depression,blackleg,,
Buffalo,Surti,Milk,5-8 liters per day,crackling sound,swelling in limb,lameness,blackleg,,
Buffalo,Surti,Milk,5-8 liters per day,blisters on tongue,lameness,loss of appetite,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,sores on mouth,lameness,loss of appetite,foot and mouth,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,Swelling in the throat,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Surti,Milk,5-8 liters per day,frothy discharge from nose,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,frothy discharge from nose,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,frothy discharge from mouth,swelling in neck,Hemorrhagic Septicemia,,
Buffalo,Surti,Milk,5-8 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Buffalo,Surti,Milk,5-8 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Buffalo,Surti,Milk,5-8 liters per day,cough,loss of appetite,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Surti,Milk,5-8 liters per day,cough,decreased weight,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Surti,Milk,5-8 liters per day,scabs,fever,red lesions around udder,Buffalo Pox,,
Buffalo,Surti,Milk,5-8 liters per day,discomfort,fever,red lesions around muzzle,Buffalo Pox,,
Buffalo,Surti,Milk,5-8 liters per day,scabs,red lesions around teats,discomfort,Buffalo Pox,,
Buffalo,Surti,Milk,5-8 liters per day,fever,discomfort,red lesions around udder,Buffalo Pox,,
Buffalo,Surti,Milk,5-8 liters per day,Discomfort,swelling in abdomen,Labored breathing,Bloat,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,Swollen lymph nodes,Weight loss,Theileriosis,,
Buffalo,Surti,Milk,5-8 liters per day,anaemia,weakness,low milk production,Theileriosis,,
Buffalo,Surti,Milk,5-8 liters per day,High fever,anaemia,swollen lymph nodes,Theileriosis,,
Buffalo,Surti,Milk,5-8 liters per day,weight loss,low milk production,weakness,Theileriosis,,
Buffalo,Surti,Milk,5-8 liters per day,Chronic weight loss,Swollen abdomen,Jaundice,Fascioliasis,,
Buffalo,Surti,Milk,5-8 liters per day,Chronic weight loss,Swollen abdomen,Anemia,Fascioliasis,,
Buffalo,Mehsana,Milk,6-10 liters per day,depression,painless lumps,loss of appetite,pneumonia,,
Buffalo,Mehsana,Milk,6-10 liters per day,loss of appetite,swelling in limb,crackling sound,blackleg,,
Buffalo,Mehsana,Milk,6-10 liters per day,depression,painless lumps,loss of appetite,lumpy virus,,
Buffalo,Mehsana,Milk,6-10 liters per day,shortness of breath,sweats,chills,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,difficulty walking,loss of appetite,blisters on hooves,foot and mouth,,
Buffalo,Mehsana,Milk,6-10 liters per day,chest discomfort,swelling in extremities,shortness of breath,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,loss of appetite,sores on hooves,lameness,foot and mouth,,
Buffalo,Mehsana,Milk,6-10 liters per day,blisters on gums,loss of appetite,difficulty walking,foot and mouth,,
Buffalo,Mehsana,Milk,6-10 liters per day,swelling in extremities,sweats,fatigue,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,sores on gums,difficulty walking,loss of appetite,foot and mouth,,
Buffalo,Mehsana,Milk,6-10 liters per day,crackling sound,lameness,depression,blackleg,,
Buffalo,Mehsana,Milk,6-10 liters per day,sweats,fatigue,chills,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,swelling in muscle,lameness,crackling sound,blackleg,,
Buffalo,Mehsana,Milk,6-10 liters per day,swelling in abdomen,chills,shortness of breath,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,loss of appetite,blisters on mouth,difficulty walking,foot and mouth,,
Buffalo,Mehsana,Milk,6-10 liters per day,sweats,fatigue,swelling in abdomen,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,fatigue,sweats,shortness of breath,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,fatigue,swelling in abdomen,chest discomfort,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,swelling in neck,chest discomfort,shortness of breath,anthrax,,
Buffalo,Mehsana,Milk,6-10 liters per day,swelling in limb,difficulty walking,depression,blackleg,,
Buffalo,Mehsana,Milk,6-10 liters per day,crackling sound,swelling in limb,lameness,blackleg,,
Buffalo,Mehsana,Milk,6-10 liters per day,blisters on tongue,lameness,loss of appetite,foot and mouth,,
Buffalo,Mehsana,Milk,6-10 liters per day,sores on mouth,lameness,loss of appetite,foot and mouth,,
Buffalo,Mehsana,Milk,6-10 liters per day,High fever,Swelling in the throat,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Mehsana,Milk,6-10 liters per day,High fever,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Mehsana,Milk,6-10 liters per day,frothy discharge from nose,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Mehsana,Milk,6-10 liters per day,High fever,frothy discharge from nose,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Mehsana,Milk,6-10 liters per day,High fever,frothy discharge from mouth,swelling in neck,Hemorrhagic Septicemia,,
Buffalo,Mehsana,Milk,6-10 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Buffalo,Mehsana,Milk,6-10 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Buffalo,Mehsana,Milk,6-10 liters per day,cough,loss of appetite,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Mehsana,Milk,6-10 liters per day,cough,decreased weight,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Mehsana,Milk,6-10 liters per day,scabs,fever,red lesions around udder,Buffalo Pox,,
Buffalo,Mehsana,Milk,6-10 liters per day,discomfort,fever,red lesions around muzzle,Buffalo Pox,,
Buffalo,Mehsana,Milk,6-10 liters per day,scabs,red lesions around teats,discomfort,Buffalo Pox,,
Buffalo,Mehsana,Milk,6-10 liters per day,fever,discomfort,red lesions around udder,Buffalo Pox,,
Buffalo,Mehsana,Milk,6-10 liters per day,Discomfort,swelling in abdomen,Labored breathing,Bloat,,
Buffalo,Mehsana,Milk,6-10 liters per day,High fever,Swollen lymph nodes,Weight loss,Theileriosis,,
Buffalo,Mehsana,Milk,6-10 liters per day,anaemia,weakness,low milk production,Theileriosis,,
Buffalo,Mehsana,Milk,6-10 liters per day,High fever,anaemia,swollen lymph nodes,Theileriosis,,
Buffalo,Mehsana,Milk,6-10 liters per day,weight loss,low milk production,weakness,Theileriosis,,
Buffalo,Mehsana,Milk,6-10 liters per day,Chronic weight loss,Swollen abdomen,Jaundice,Fascioliasis,,
Buffalo,Mehsana,Milk,6-10 liters per day,Chronic weight loss,Swollen abdomen,Anemia,Fascioliasis,,
Buffalo,Nagpuri,Milk,4-7 liters per day,depression,painless lumps,loss of appetite,pneumonia,,
Buffalo,Nagpuri,Milk,4-7 liters per day,loss of appetite,swelling in limb,crackling sound,blackleg,,
Buffalo,Nagpuri,Milk,4-7 liters per day,depression,painless lumps,loss of appetite,lumpy virus,,
Buffalo,Nagpuri,Milk,4-7 liters per day,shortness of breath,sweats,chills,anthrax,,
Buffalo,Nagpuri,Milk,4-7 liters per day,difficulty walking,loss of appetite,blisters on hooves,foot and mouth,,
Buffalo,Nagpuri,Milk,4-7 liters per day,chest discomfort,swelling in extremities,shortness of breath,anthrax,,
Buffalo,Nagpuri,Milk,4-7 liters per day,loss of appetite,sores on hooves,lameness,foot and mouth,,
Buffalo,Nagpuri,Milk,4-7 liters per day,blisters on gums,loss of appetite,difficulty walking,foot and mouth,,
Buffalo,Nagpuri,Milk,4-7 liters per day,swelling in extremities,sweats,fatigue,anthrax,,
Buffalo,Nagpuri,Milk,4-7 liters per day,sores on gums,difficulty walking,loss of appetite,foot and mouth,,
Buffalo,Nagpuri,Milk,4-7 liters per day,crackling sound,lameness,depression,blackleg,,
Buffalo,Nagpuri,Milk,4-7 liters per day,sweats,fatigue,chills,anthrax,,
Buffalo,Nagpuri,Milk,4-7 liters per day,swelling in muscle,lameness,crackling sound,blackleg,,
Buffalo,Nagpuri,Milk,4-7 liters per day,swelling in abdomen,chills,shortness of breath,anthrax,,
Buffalo,Nagpuri,Milk,4-7 liters per day,loss of appetite,blisters on mouth,difficulty walking,foot and mouth,,
Buffalo,Nagpuri,Milk,4-7 liters per day,sweats,fatigue,swelling in abdomen,anthrax,,
Buffalo,Nagpuri,Milk,4-7 liters per day,fatigue,sweats,shortness of breath,anthrax,,
Buffalo,Nagpuri,Milk,4-7 liters per day,fatigue,swelling in abdomen,chest discomfort,anthrax,,
Buffalo,Nagpuri,Milk,4-7 liters per day,swelling in neck,chest discomfort,shortness of breath,anthrax,,
Buffalo,Nagpuri,Milk,4-7 liters per day,swelling in limb,difficulty walking,depression,blackleg,,
Buffalo,Nagpuri,Milk,4-7 liters per day,crackling sound,swelling in limb,lameness,blackleg,,
Buffalo,Nagpuri,Milk,4-7 liters per day,blisters on tongue,lameness,loss of appetite,foot and mouth,,
Buffalo,Nagpuri,Milk,4-7 liters per day,sores on mouth,lameness,loss of appetite,foot and mouth,,
Buffalo,Nagpuri,Milk,4-7 liters per day,High fever,Swelling in the throat,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Nagpuri,Milk,4-7 liters per day,High fever,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Nagpuri,Milk,4-7 liters per day,frothy discharge from nose,Swelling in neck,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Nagpuri,Milk,4-7 liters per day,High fever,frothy discharge from nose,Difficulty breathing,Hemorrhagic Septicemia,,
Buffalo,Nagpuri,Milk,4-7 liters per day,High fever,frothy discharge from mouth,swelling in neck,Hemorrhagic Septicemia,,
Buffalo,Nagpuri,Milk,4-7 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Buffalo,Nagpuri,Milk,4-7 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Buffalo,Nagpuri,Milk,4-7 liters per day,cough,loss of appetite,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Nagpuri,Milk,4-7 liters per day,cough,decreased weight,swollen lymph nodes,Bovine Tuberculosis,,
Buffalo,Nagpuri,Milk,4-7 liters per day,scabs,fever,red lesions around udder,Buffalo Pox,,
Buffalo,Nagpuri,Milk,4-7 liters per day,discomfort,fever,red lesions around muzzle,Buffalo Pox,,
Buffalo,Nagpuri,Milk,4-7 liters per day,scabs,red lesions around teats,discomfort,Buffalo Pox,,
Buffalo,Nagpuri,Milk,4-7 liters per day,fever,discomfort,red lesions around udder,Buffalo Pox,,
Buffalo,Nagpuri,Milk,4-7 liters per day,Discomfort,swelling in abdomen,Labored breathing,Bloat,,
Buffalo,Nagpuri,Milk,4-7 liters per day,High fever,Swollen lymph nodes,Weight loss,Theileriosis,,
Buffalo,Nagpuri,Milk,4-7 liters per day,anaemia,weakness,low milk production,Theileriosis,,
Buffalo,Nagpuri,Milk,4-7 liters per day,High fever,anaemia,swollen lymph nodes,Theileriosis,,
Buffalo,Nagpuri,Milk,4-7 liters per day,weight loss,low milk production,weakness,Theileriosis,,
Buffalo,Nagpuri,Milk,4-7 liters per day,Chronic weight loss,Swollen abdomen,Jaundice,Fascioliasis,,
Buffalo,Nagpuri,Milk,4-7 liters per day,Chronic weight loss,Swollen abdomen,Anemia,Fascioliasis,,
Goat,Jamunapari,Milk,2-3 liters per day,Bloody Diarrhea,convulsions,discomfort,Pulpy Kidney Disease,,
Goat,Jamunapari,Milk,2-3 liters per day,Bloody Diarrhea,convulsions,abdominal pain,Pulpy Kidney Disease,,
Goat,Jamunapari,Milk,2-3 liters per day,Lameness,swelling of hooves,discharge from hooves,Foot rot,,
Goat,Jamunapari,Milk,2-3 liters per day,Swollen udder,Blood in milk,Hot udder,Mastitis,,
Goat,Jamunapari,Milk,2-3 liters per day,Swollen udder,Pus in milk,Hard udder,Mastitis,,
Goat,Jamunapari,Milk,2-3 liters per day,Hot udder,Clot in milk,Hard udder,Mastitis,,
Goat,Jamunapari,Milk,2-3 liters per day,Chronic diarrhea,weight loss,low milk production,Johne's Disease,,
Goat,Jamunapari,Milk,2-3 liters per day,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Goat,Jamunapari,Milk,2-3 liters per day,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Goat,Jamunapari,Milk,2-3 liters per day,High fever,Coughing,weight loss,Pleuropneumonia,,
Goat,Jamunapari,Milk,2-3 liters per day,difficulty breathing,nasal discharge,high fever,Pleuropneumonia,,
Goat,Jamunapari,Milk,2-3 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Goat,Jamunapari,Milk,2-3 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Goat,Jamunapari,Milk,2-3 liters per day,Fever,depression,Scabs,Goat Pox,,
Goat,Jamunapari,Milk,2-3 liters per day,red lesions around mouth,scabs,fever,Goat Pox,,
Goat,Jamunapari,Milk,2-3 liters per day,fever,red lesions around nose,depression,Goat Pox,,
Goat,Jamunapari,Milk,2-3 liters per day,red lesions around mouth,scabs,red lesions around udder,Goat Pox,,
Goat,Jamunapari,Milk,2-3 liters per day,anaemia,weight loss,diarrhea,Internal Parasites,,
Goat,Barbari,Milk,0.5-1 liters per day,Bloody Diarrhea,convulsions,discomfort,Pulpy Kidney Disease,,
Goat,Barbari,Milk,0.5-1 liters per day,Bloody Diarrhea,convulsions,abdominal pain,Pulpy Kidney Disease,,
Goat,Barbari,Milk,0.5-1 liters per day,Lameness,swelling of hooves,discharge from hooves,Foot rot,,
Goat,Barbari,Milk,0.5-1 liters per day,Swollen udder,Blood in milk,Hot udder,Mastitis,,
Goat,Barbari,Milk,0.5-1 liters per day,Swollen udder,Pus in milk,Hard udder,Mastitis,,
Goat,Barbari,Milk,0.5-1 liters per day,Hot udder,Clot in milk,Hard udder,Mastitis,,
Goat,Barbari,Milk,0.5-1 liters per day,Chronic diarrhea,weight loss,low milk production,Johne's Disease,,
Goat,Barbari,Milk,0.5-1 liters per day,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Goat,Barbari,Milk,0.5-1 liters per day,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Goat,Barbari,Milk,0.5-1 liters per day,High fever,Coughing,weight loss,Pleuropneumonia,,
Goat,Barbari,Milk,0.5-1 liters per day,difficulty breathing,nasal discharge,high fever,Pleuropneumonia,,
Goat,Barbari,Milk,0.5-1 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Goat,Barbari,Milk,0.5-1 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Goat,Barbari,Milk,0.5-1 liters per day,Fever,depression,Scabs,Goat Pox,,
Goat,Barbari,Milk,0.5-1 liters per day,red lesions around mouth,scabs,fever,Goat Pox,,
Goat,Barbari,Milk,0.5-1 liters per day,fever,red lesions around nose,depression,Goat Pox,,
Goat,Barbari,Milk,0.5-1 liters per day,red lesions around mouth,scabs,red lesions around udder,Goat Pox,,
Goat,Barbari,Milk,0.5-1 liters per day,anaemia,weight loss,diarrhea,Internal Parasites,,
Goat,Malabari,Milk,1-2 liters per day,Bloody Diarrhea,convulsions,discomfort,Pulpy Kidney Disease,,
Goat,Malabari,Milk,1-2 liters per day,Bloody Diarrhea,convulsions,abdominal pain,Pulpy Kidney Disease,,
Goat,Malabari,Milk,1-2 liters per day,Lameness,swelling of hooves,discharge from hooves,Foot rot,,
Goat,Malabari,Milk,1-2 liters per day,Swollen udder,Blood in milk,Hot udder,Mastitis,,
Goat,Malabari,Milk,1-2 liters per day,Swollen udder,Pus in milk,Hard udder,Mastitis,,
Goat,Malabari,Milk,1-2 liters per day,Hot udder,Clot in milk,Hard udder,Mastitis,,
Goat,Malabari,Milk,1-2 liters per day,Chronic diarrhea,weight loss,low milk production,Johne's Disease,,
Goat,Malabari,Milk,1-2 liters per day,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Goat,Malabari,Milk,1-2 liters per day,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Goat,Malabari,Milk,1-2 liters per day,High fever,Coughing,weight loss,Pleuropneumonia,,
Goat,Malabari,Milk,1-2 liters per day,difficulty breathing,nasal discharge,high fever,Pleuropneumonia,,
Goat,Malabari,Milk,1-2 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Goat,Malabari,Milk,1-2 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Goat,Malabari,Milk,1-2 liters per day,Fever,depression,Scabs,Goat Pox,,
Goat,Malabari,Milk,1-2 liters per day,red lesions around mouth,scabs,fever,Goat Pox,,
Goat,Malabari,Milk,1-2 liters per day,fever,red lesions around nose,depression,Goat Pox,,
Goat,Malabari,Milk,1-2 liters per day,red lesions around mouth,scabs,red lesions around udder,Goat Pox,,
Goat,Malabari,Milk,1-2 liters per day,anaemia,weight loss,diarrhea,Internal Parasites,,
Goat,Beetal,Milk,1.5-2.5 liters per day,Bloody Diarrhea,convulsions,discomfort,Pulpy Kidney Disease,,
Goat,Beetal,Milk,1.5-2.5 liters per day,Bloody Diarrhea,convulsions,abdominal pain,Pulpy Kidney Disease,,
Goat,Beetal,Milk,1.5-2.5 liters per day,Lameness,swelling of hooves,discharge from hooves,Foot rot,,
Goat,Beetal,Milk,1.5-2.5 liters per day,Swollen udder,Blood in milk,Hot udder,Mastitis,,
Goat,Beetal,Milk,1.5-2.5 liters per day,Swollen udder,Pus in milk,Hard udder,Mastitis,,
Goat,Beetal,Milk,1.5-2.5 liters per day,Hot udder,Clot in milk,Hard udder,Mastitis,,
Goat,Beetal,Milk,1.5-2.5 liters per day,Chronic diarrhea,weight loss,low milk production,Johne's Disease,,
Goat,Beetal,Milk,1.5-2.5 liters per day,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Goat,Beetal,Milk,1.5-2.5 liters per day,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Goat,Beetal,Milk,1.5-2.5 liters per day,High fever,Coughing,weight loss,Pleuropneumonia,,
Goat,Beetal,Milk,1.5-2.5 liters per day,difficulty breathing,nasal discharge,high fever,Pleuropneumonia,,
Goat,Beetal,Milk,1.5-2.5 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Goat,Beetal,Milk,1.5-2.5 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Goat,Beetal,Milk,1.5-2.5 liters per day,Fever,depression,Scabs,Goat Pox,,
Goat,Beetal,Milk,1.5-2.5 liters per day,red lesions around mouth,scabs,fever,Goat Pox,,
Goat,Beetal,Milk,1.5-2.5 liters per day,fever,red lesions around nose,depression,Goat Pox,,
Goat,Beetal,Milk,1.5-2.5 liters per day,red lesions around mouth,scabs,red lesions around udder,Goat Pox,,
Goat,Beetal,Milk,1.5-2.5 liters per day,anaemia,weight loss,diarrhea,Internal Parasites,,
