Animal,Breed ,Products,Production,Symptom1,Symptom2,Symptom3,Disease,,
Goat,Jakhrana,Milk,2-3 liters per day,Bloody Diarrhea,convulsions,discomfort,Pulpy Kidney Disease,,
Goat,Jakhrana,Milk,2-3 liters per day,Bloody Diarrhea,convulsions,abdominal pain,Pulpy Kidney Disease,,
Goat,Jakhrana,Milk,2-3 liters per day,Lameness,swelling of hooves,discharge from hooves,Foot rot,,
Goat,Jakhrana,Milk,2-3 liters per day,Swollen udder,Blood in milk,Hot udder,Mastitis,,
Goat,Jakhrana,Milk,2-3 liters per day,Swollen udder,Pus in milk,Hard udder,Mastitis,,
Goat,Jakhrana,Milk,2-3 liters per day,Hot udder,Clot in milk,Hard udder,Mastitis,,
Goat,Jakhrana,Milk,2-3 liters per day,Chronic diarrhea,weight loss,low milk production,Johne's Disease,,
Goat,Jakhrana,Milk,2-3 liters per day,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Goat,Jakhrana,Milk,2-3 liters per day,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Goat,Jakhrana,Milk,2-3 liters per day,High fever,Coughing,weight loss,Pleuropneumonia,,
Goat,Jakhrana,Milk,2-3 liters per day,difficulty breathing,nasal discharge,high fever,Pleuropneumonia,,
Goat,Jakhrana,Milk,2-3 liters per day,Abortion,Retained placenta,Decreased fertility,Brucellosis,,
Goat,Jakhrana,Milk,2-3 liters per day,Abortion,uterine infections,low milk production,Brucellosis,,
Goat,Jakhrana,Milk,2-3 liters per day,Fever,depression,Scabs,Goat Pox,,
Goat,Jakhrana,Milk,2-3 liters per day,red lesions around mouth,scabs,fever,Goat Pox,,
Goat,Jakhrana,Milk,2-3 liters per day,fever,red lesions around nose,depression,Goat Pox,,
Goat,Jakhrana,Milk,2-3 liters per day,red lesions around mouth,scabs,red lesions around udder,Goat Pox,,
Goat,Jakhrana,Milk,2-3 liters per day,anaemia,weight loss,diarrhea,Internal Parasites,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,CARI Priya layer,Eggs,280-300 eggs annually,weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,CARI Sonali,Eggs,200-220 eggs annually,weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,Plumouth Rock,Eggs,~250 eggs annually,weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,Orpington,Eggs,~200 eggs annually,Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,Orpington,Eggs,~200 eggs annually,Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,Orpington,Eggs,~200 eggs annually,Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,Orpington,Eggs,~200 eggs annually,weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,Orpington,Eggs,~200 eggs annually,depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,Orpington,Eggs,~200 eggs annually,swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,Orpington,Eggs,~200 eggs annually,nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,Orpington,Eggs,~200 eggs annually,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,Orpington,Eggs,~200 eggs annually,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,Orpington,Eggs,~200 eggs annually,low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,Orpington,Eggs,~200 eggs annually,difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,Orpington,Eggs,~200 eggs annually,low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,Orpington,Eggs,~200 eggs annually,weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,Bantam Chicken,Eggs,~150 eggs annually,weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,Kalamaki,Eggs,>100 eggs annually,Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,Kalamaki,Eggs,>100 eggs annually,Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,Kalamaki,Eggs,>100 eggs annually,Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,Kalamaki,Eggs,>100 eggs annually,weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,Kalamaki,Eggs,>100 eggs annually,depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,Kalamaki,Eggs,>100 eggs annually,swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,Kalamaki,Eggs,>100 eggs annually,nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,Kalamaki,Eggs,>100 eggs annually,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,Kalamaki,Eggs,>100 eggs annually,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,Kalamaki,Eggs,>100 eggs annually,low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,Kalamaki,Eggs,>100 eggs annually,difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,Kalamaki,Eggs,>100 eggs annually,low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,Kalamaki,Eggs,>100 eggs annually,weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,Hitkari,Eggs,~100 eggs annually,Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,Hitkari,Eggs,~100 eggs annually,Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,Hitkari,Eggs,~100 eggs annually,Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,Hitkari,Eggs,~100 eggs annually,weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,Hitkari,Eggs,~100 eggs annually,depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,Hitkari,Eggs,~100 eggs annually,swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,Hitkari,Eggs,~100 eggs annually,nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,Hitkari,Eggs,~100 eggs annually,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,Hitkari,Eggs,~100 eggs annually,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,Hitkari,Eggs,~100 eggs annually,low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,Hitkari,Eggs,~100 eggs annually,difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,Hitkari,Eggs,~100 eggs annually,low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,Hitkari,Eggs,~100 eggs annually,weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,varnaraj,Eggs,>=100 eggs annually,Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,varnaraj,Eggs,>=100 eggs annually,Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,varnaraj,Eggs,>=100 eggs annually,Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,varnaraj,Eggs,>=100 eggs annually,weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,varnaraj,Eggs,>=100 eggs annually,depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,varnaraj,Eggs,>=100 eggs annually,swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,varnaraj,Eggs,>=100 eggs annually,nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,varnaraj,Eggs,>=100 eggs annually,weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,varnaraj,Eggs,>=100 eggs annually,weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,varnaraj,Eggs,>=100 eggs annually,low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,varnaraj,Eggs,>=100 eggs annually,difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,varnaraj,Eggs,>=100 eggs annually,low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,varnaraj,Eggs,>=100 eggs annually,weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,Plumouth Rock,Meat,1 - 2 pounds(0.45 - 0.9 kg),weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,Orpington,Meat,1 - 2 pounds(0.45 - 0.9 kg),weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,Varnaraj,Meat,3.3-5.3 pounds(1.5-2.4 kg ),weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,Broiler Chicken,Meat,4 - 6  pounds(1.8 - 2.7 kg),weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),Paralysis of legs,weight loss,Tumors,Marek's Disease,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),Paralysis of wings,depression,enlargement of peripheral nerves,Marek's Disease,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),Paralysis of legs,paralysis of neck,tumors,Marek's Disease,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),weight loss,enlargement of peripheral nerves,depression,Marek's Disease,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),depression,tumors,Paralysis of legs,Marek's Disease,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),swelling in legs,low egg production,coughing,Bird Flu,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),nasal discharge,swelling in legs,sneezing,Bird Flu,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),weakness,bloody diarrhea,dehydration,Coccidiosis,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),weakness,bloody diarrhea,Weight loss,Coccidiosis,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),low egg preoduction,lethargy,diarrhea,Salmonellosis,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),difficulty breathing,nasal discharge,low egg production,Chronic Respiratory Disease,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),low egg preoduction,sneezing,Weight loss,Chronic Respiratory Disease,,
Chicken,Desi Chicken,Meat,1.5-2.2 pounds (0.7-1 kg ),weight loss,swollen sinuses,sneezing,Chronic Respiratory Disease,,
